Country Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Malawi,529.5133440206,539.605363240686,450.506105510719,495.769683367165,533.202567189331,580.889139762475,602.507478176106,617.446994451007,604.269740360317,633.214767978695,522.570393642547
Malaysia,11013.3107334403,9648.6797937523,9476.53409809923,9862.54806612235,10901.8019954421,10920.191763972,9957.52626697613,10903.1037480772,11754.5678336248,11386.0395636528,11874.4273684245
Namibia,5378.32326241205,4774.10650865775,4395.68776162376,5143.96072323076,5308.60813408705,4731.9210318831,3878.58982993966,4412.8355693052,4349.79908493314,4187.60500396525,4413.12752211572
Niger,565.30989731175,485.662574175279,502.706475406446,521.804130023434,578.568035680892,561.691304349698,579.512495758236,608.722439593808,609.745147574878,638.336080897887,735.270255787226
Nigeria,3088.72131316169,2585.73360671797,2070.4127339595,1876.34027111773,2057.87944554011,3189.81286498516,2797.18458068686,2787.48779224428,2899.16047470324,2138.76383719983,1084.16041805436
Nicaragua,1958.37047579547,2074.45620634731,2131.68704828322,2182.61380995674,2035.16549390507,1958.62051528095,1938.44704754382,2138.38588469449,2322.89053964583,2609.44492072931,2847.53966339498
Netherlands,53457.2234864322,45793.8135434697,46808.5291492503,49513.6817346384,53955.0770024266,53554.9007491475,53467.9277413737,60141.9880911492,59123.318556487,63515.6030780019,67520.4218956281
Norway,97666.6951838749,74809.9658049898,70867.3609970749,76131.8384032764,82792.8427113304,76430.5889473338,68340.0181033702,93072.8925119571,109269.520580298,87497.2179649556,86785.4334489176
Nepal,821.455224911731,875.543635474862,877.256454696737,1034.28374906846,1179.19843190389,1203.14294706401,1154.21517578318,1252.75076731986,1385.91066274851,1382.33055769304,1447.31004458428
Nauru,9230.05440328927,7747.25584993607,8748.15632605428,9656.97976571484,11413.7463016389,10801.7705659635,10709.068810538,14979.099896799,12911.9086441381,12752.4723855838,13609.158837552
New Zealand,44618.266973847,38665.3723018158,40113.7195382428,42950.3841711138,43257.0769238879,42855.831861632,41997.7830324279,49950.4251691316,49099.7090423358,49075.9562832927,49205.1792146792
Oman,23160.6502252547,18808.3077921839,17110.1897460545,17820.0661809335,19901.7615642016,19180.1864152801,16784.8630630058,19403.4600160211,23223.5829405935,21027.7384778886,20285.2272897377
Pakistan,1266.61340849959,1380.47020838317,1424.69161195897,1519.23459514248,1569.33814626355,1390.41690981745,1278.39735206896,1455.31922370186,1538.3228133171,1360.32417758419,1478.77277977996
Panama,13213.1989591137,14082.6548434996,14832.3611652459,15694.6297518495,16151.3273433486,16477.9066268111,13290.5608397749,15509.8069124139,17378.6070017557,18797.1933994045,19161.2188501596
Peru,6667.13410360861,6231.71150338894,6217.03599995447,6736.16693725487,6978.49121548627,7037.00803692604,6133.32552410183,6826.20255614477,7350.63034300417,7887.54185920108,8452.37167056621
Philippines,2866.83803761407,2909.85818010301,2985.19564024046,3038.12124959289,3168.51036609727,3400.78949767074,3227.57910235199,3484.38593882819,3548.06930572116,3804.08274131097,3984.8315387656
Palau,13863.4544155068,16154.0532152373,17150.4759377239,16401.7847567871,16166.9671073752,15846.7968470167,14708.2119536914,13009.2481630213,13729.7602761496,15610.8231931032,
Papua New Guinea,2723.17529825196,2484.5963398603,2316.39479758492,2477.76530986323,2566.36833735041,2575.77274140393,2429.61134585269,2607.57861874444,3102.28968594061,2966.06830432055,3006.70564478923
Poland,14262.2841914116,12637.5220324406,12464.0110508476,13913.3402919927,15658.2120316794,15874.5220531254,16150.9304813473,18635.5104895754,18891.2121169279,22145.2660647429,25103.565661423
Portugal,22120.6850127107,19215.7813014347,19980.2808866516,21442.3842768879,23541.1401075289,23343.3628970034,22299.4044062173,24711.4510062111,24620.5197587181,27634.6183139773,29292.242104753
Paraguay,6652.25478942461,5879.33792308762,5775.15963399596,6152.2671153779,6258.44991640984,5821.18199548738,5365.47220721104,5976.93179789949,6205.62595379319,6299.99026533713,6416.09708970845
